           organization_id            | dateint  | frequency_ms |     segment_id     | instance_num | slot_id | slot_count | record_count | file_size 
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217609175535120 |           12 |       0 |          1 |          228 |     31437
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301299797300612928 |           15 |       0 |          1 |        71376 |   2007737
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301261115701069099 |           15 |       0 |          1 |        69540 |   2059931
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216962950729142 |           15 |       0 |          1 |        47824 |   1591542
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216983821584384 |           15 |       0 |          1 |        47435 |   1417449
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301218925247466934 |           15 |       0 |          1 |        46340 |   1383965
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301248867628746612 |           15 |       0 |          1 |        68882 |   1941909
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217298193059254 |           15 |       0 |          1 |        47747 |   1462798
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217462592997615 |           12 |       0 |          1 |          229 |     31497
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301218058771369488 |           12 |       0 |          1 |          229 |     32089
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216989240625443 |           12 |       0 |          1 |          235 |     32078
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301218327223602704 |           12 |       0 |          1 |          229 |     31789
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301219812544088355 |           12 |       0 |          1 |          228 |     31784
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301216995280424464 |           12 |       0 |          1 |          228 |     32010
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217319751778853 |           12 |       0 |          1 |          470 |     40544
 65928f26-224b-4acb-8e57-9ee628164694 | 20250909 |        10000 | 301217338978468389 |           12 |       0 |          1 |          235 |     32069
